skill,company,role,package,location,notes
Python,Infosys,Python Developer,5–7 LPA,India,
Python,TCS,Software Engineer (Python),5–7 LPA,India,
Python,Accenture,Backend Developer (Python),6–9 LPA,India,
Python,Zoho,Member of Technical Staff,7–10 LPA,India,
Python,Google,Software Engineer,45–60 LPA,India,Experienced
Java,Infosys,Java Developer,5–7 LPA,India,
Java,Wipro,Java Engineer,5–6.5 LPA,India,
Java,Cognizant,Associate (Java),6–9 LPA,India,
Java,TCS,Full‑Stack (Java/Spring),6–8 LPA,India,
Java,Amazon,SDE (Java),35–55 LPA,India,Experienced
Data Science,IBM,Data Scientist,10–14 LPA,India,
Data Science,Cognizant,Data Analyst / Scientist,8–12 LPA,India,
Data Science,Fractal,Decision Scientist,12–18 LPA,India,
Data Science,Mu Sigma,Decision Scientist,6–9 LPA,India,Entry‑level
Data Science,Google,Data Scientist,45–60 LPA,India,Experienced
AI/ML,Microsoft,ML Engineer,18–28 LPA,India,
AI/ML,NVIDIA,DL Engineer,25–40 LPA,India,
AI/ML,Amazon,Applied Scientist,35–55 LPA,India,
AI/ML,T-Hub Startups,ML Engineer,6–12 LPA,India,Startup range
AI/ML,IIT AI Lab,Research Assistant,6–12 LPA,India,Research
UI/UX,Adobe,UX Designer,8–14 LPA,India,
UI/UX,Figma,Product Designer,15–25 LPA,India,Limited roles
UI/UX,Zoho,UX Designer,8–12 LPA,India,
UI/UX,Freshworks,Product Designer,10–16 LPA,India,
UI/UX,TCS,UX Analyst,6–9 LPA,India,
Web Development,Infosys,Full‑Stack Developer,5–8 LPA,India,
Web Development,TCS,Frontend (React),5–8 LPA,India,
Web Development,Mindtree,Backend (Node.js),6–9 LPA,India,
Web Development,Flipkart,Frontend Engineer,18–28 LPA,India,
Web Development,Paytm,Full‑Stack Engineer,12–20 LPA,India,
DevOps,TCS,DevOps Engineer,7–12 LPA,India,
DevOps,Infosys,Cloud/DevOps Engineer,7–12 LPA,India,
DevOps,HCL,SRE/DevOps,8–14 LPA,India,
DevOps,Amazon,SDE DevOps,28–40 LPA,India,
DevOps,ThoughtWorks,DevOps Consultant,18–25 LPA,India,
Cloud (AWS/Azure/GCP),AWS,Cloud Support Engineer,12–20 LPA,India,
Cloud (AWS/Azure/GCP),Microsoft,Azure Engineer,18–30 LPA,India,
Cloud (AWS/Azure/GCP),Google,Cloud Engineer,30–45 LPA,India,
Cloud (AWS/Azure/GCP),Accenture,Cloud Architect (Jr),10–16 LPA,India,
Cloud (AWS/Azure/GCP),Deloitte,Cloud Engineer,10–16 LPA,India,
Android,Samsung R&D,Android Engineer,12–20 LPA,India,
Android,Flipkart,Android Developer,20–28 LPA,India,
Android,Paytm,Android Engineer,12–18 LPA,India,
Android,TCS,Mobile App Developer,5–8 LPA,India,
Android,Infosys,Android Developer,5–8 LPA,India,
Cybersecurity,Tata Advanced Systems,Security Analyst,8–15 LPA,India,
Cybersecurity,Paladion/Atos,SOC Analyst,6–10 LPA,India,
Cybersecurity,EY,Cyber Consultant,10–18 LPA,India,
Cybersecurity,Cisco,Security Engineer,18–28 LPA,India,
Cybersecurity,Quick Heal,Malware Analyst,8–14 LPA,India,
Data Engineering,Snowflake (Partners),Data Engineer,12–20 LPA,India,
Data Engineering,Netflix (India roles rare),Data Engineer,35–50 LPA,India,Limited openings
Data Engineering,TCS,ETL/Big Data Engineer,7–12 LPA,India,
Data Engineering,Infosys,Data Engineer,7–12 LPA,India,
Data Engineering,Deloitte,Data Engineer,10–16 LPA,India,
QA / Testing,TCS,Automation Tester,5–8 LPA,India,
QA / Testing,Cognizant,QA Engineer,6–9 LPA,India,
QA / Testing,Capgemini,Test Analyst,6–9 LPA,India,
QA / Testing,ThoughtWorks,QA Consultant,12–18 LPA,India,
QA / Testing,Freshworks,SDET,10–16 LPA,India,
